urls,category,keyword1,freq1,keyword2,freq2,keyword3,freq3,keyword4,freq4,keyword5,freq5,keyword6,freq6,keyword7,freq7,keyword8,freq8,keyword9,freq9,keyword10,freq10
http://27spusm7f4guredslrpjzvln4ctq3rcaoed5oszfkkbqhzuzsqq3xrad.onion/,other,email,18,inbox,11,gmail,11,spam,10,emails,10,smtp,10,send,8,unlimited,8,bypass,8,sending,8
http://27tlyolm76xbishxguyy4rvmc5ghl2az5ocvazx66ubjc2p4lgcd2mad.onion/,other,gift,28,card,26,cards,11,payment,11,gamecard,10,gamecards,5,email,5,amazon,5,itunes,5,google,5
http://27wyhuamw5mcwqdtc3t3i6jpes6m66glmxjtgx7mpkhplniituxin6qd.onion/,other,market,22,markets,17,onion,17,hidden,16,services,14,darknet,11,privacy,11,marketplaces,11,security,11,users,11
http://27zjwyzy2fykq7xwgzi5jjmrzaewvqh2b2447e5mwas5em2b5luseiqd.onion/,other,stream,4,airwave,2,broadcast,2,name,2,description,2,mount,1,point,1,live,1,xspf,1,unspecified,1
http://2aguvc2t2xvahpdgwl7k7q3wrimcfktrnn4brx7wcr5ndrg6iz7vefad.onion/,other,drkseid,4,guns,2,arms,2,years,2,provider,1,stealth,1,toggle,1,navigation,1,catalogue,1,contact,1
http://2bcbla34hrkp6shb4myzb2wntl2fxdbrroc2t4t7c3shckvhvk4fw6qd.onion/,other,sell,21,worth,18,bitcoins,6,virtual,6,currency,6,cash,4,paypal,4,bitcoin,3,mail,3,ethereum,3
http://2bgeu4ycpbuuq3n754jzu4dbtxrau2lky7szezskgjce33sth7xyntad.onion/,other,hacker,19,hire,17,hacking,8,consultation,7,contact,6,account,6,phonejacking,6,free,6,information,6,professional,5
http://2bia2onkcut54hdsqqc3dypu6exezgfoelrrjwpnkfvg633ax4wz5wyd.onion/,other,,,,,,,,,,,,,,,,,,,,
http://2bmcwqsq6o7hfa7lsfmvthrtn5lyppvwsdj5mba435ofudreswybbvqd.onion/,other,send,21,mail,20,address,15,name,14,code,14,country,14,comments,14,skimmer,11,insert,7,diebold,5
http://2bovrx72b6uxp4phue2kufll3qyispa6rnngeeu23x5hdgvcj35cytqd.onion/,other,cards,55,code,31,money,30,fast,29,easy,28,transfers,27,online,26,world,25,shopping,24,withdrawals,24
http://3wnnh7ayiqf6k52uslnkzbgqjwxag4s7bluobnkboo75mk42pof7ijqd.onion/,other,bitcoin,36,wallet,13,address,12,addr,10,money,10,free,8,receive,8,exploit,7,blockchain,6,price,6
http://2bvy5gdwuudxgodmvlfpxg52ammhmxzx7nc3vvivlvq6ujjnv7ny3hyd.onion/,other,cards,34,card,30,payment,24,send,14,union,11,shipping,11,transfer,11,number,11,transaction,11,western,10
http://2c57peyk4w6h2yr4hk7hucq3nz2tkwbescc7xuqbeijt5se2rstjprid.onion/,other,easy,15,fast,14,world,12,code,12,transfer,12,online,10,shopping,10,safely,10,work,9,wide,9
http://2ceiaa37hsmmk3japczvc4b6wnralj64qpf7ywfheircq3ht3rwus6ad.onion/,other,librey,4,search,2,libre,1,torrents,1,source,1,instances,1,settings,1,donate,1,latest,1,commit,1
http://2cmfhbscfbruggyqwbr7g2oa3fx3ckjqinujtuqlygcoxotpnb3sclqd.onion/,other,surex,4,online,4,market,4,highest,4,quality,4,official,3,site,3,drugs,3,home,2,become,2
http://2cn73257yggyhrmvcstlay5y3dsmikdd6ymcoumaivoch76d6gnjtiid.onion/,other,passport,59,rated,59,verification,32,wishlist,24,quick,24,view,24,price,18,driver,15,license,15,front,14
http://2crftbzxbcoqolvzreaaeyrod5qwycayef55gxgzgfcpqlaxrnh3kkqd.onion/,other,dotya,4,gitea,3,code,2,good,2,like,2,bloat,2,software,2,website,1,requires,1,javascript,1
http://2edx5pnmwm26mhrqxhkfbxbupbdhnufbmjk2lkpvs2bx55hbmtbhrmad.onion/,other,gift,43,card,41,amazon,13,sale,12,germany,6,itunes,5,steam,5,giftcardxpress,4,uber,3,eats,3
http://4f4efsa3pe64ma3wighpu7kmvsxwrn446qp6jble243wf2ly6chrfwid.onion/,other,guns,4,ammo,4,unused,3,product,3,price,3,quantity,3,rounds,3,euro,2,walther,2,desert,2
http://2ev6kqzhbeunwggycxvbucx4tf73ahczqa6xcpmtswexp7qu4bd65myd.onion/,other,caddy,16,site,6,domain,3,records,3,files,3,html,3,caddyfile,3,need,3,everything,3,take,3
http://2ezyofc26j73hv3xxvsrnbc23dqxhgxqtk5ogcc7y6j5t6rlqquvhzid.onion/,other,earn,8,week,8,interest,6,invest,6,bitcoin,5,investment,4,trust,3,client,3,traders,2,bitcoins,2
http://2f7r6tjb5mg7jangsnn3xaccep22rhc4cxlab3ehicj7feu5qjjqcwad.onion/,other,bitcoin,5,exploit,4,address,4,send,3,live,2,must,2,amount,2,sent,2,small,2,funds,2
http://2f7wuclkuz2fspquoe3qlqyzyjilqlsyiz5mihjzyz22e66n4le4saad.onion/,other,welcome,3,mephisto,3,darkness,3,site,2,realm,2,find,2,embrace,2,true,2,night,1,shadows,1
http://2hek7b3bml77x7q2uvsqcmzoagb2gw5gf2oqaqhue7tfipfby3bhmzqd.onion/,other,deepmarketplace,2,queue,2,access,1,placed,1,awaiting,1,forwarding,1,platform,1,estimated,1,wait,1,time,1
http://2hsm2rbcw64i433blnrn6aadmjsujjpspdz5d3fyyepw4re44v2y5eid.onion/,other,national,1,libertarian,1,party,1,russian,1,people,1,republic,1,,,,,,,,
http://2ij4h4jqkuaapnta43oakcpfcaibyg7jcjh2lqkg2sfj3ihrsmfmtdqd.onion/,other,card,11,price,9,cards,6,shipping,4,balance,4,payment,4,work,3,bank,3,online,3,cash,3
http://2iuqaneelp3ggqgjjqfdqddhdrxvxllyala7kovmb2odlqnqnqbsxfad.onion/,other,,,,,,,,,,,,,,,,,,,,
http://2j76qxuzlmapf7hgsyspjyak36jhllnnujrewhgyiyexsousy5hbnqad.onion/,other,paypal,7,money,6,bankor,5,cards,4,best,4,services,4,thank,4,cloned,3,credit,3,prepaid,3
http://2jmbmcflllt72eqhu553bibzho7rigxhqreqstef6zg2iqrv3cj2aaid.onion/,other,cards,64,code,37,fast,36,money,35,transfers,33,easy,33,online,32,world,29,stores,28,shopping,28
http://2jwcnprqbugvyi6ok2h2h7u26qc6j5wxm7feh3znlh2qu3h6hjld4kyd.onion/,other,onion,80,http,77,bitcoin,11,hidden,6,store,6,wiki,5,dark,5,mixer,5,cannabis,5,best,4
http://2jxpke2o5zfvfbopfdj6xyb7ucrd36nyfz7fiwiuqmqp7t4qnf7cyyqd.onion/,other,money,51,cash,34,make,30,dollars,18,rich,16,euro,15,order,12,francs,10,shipping,9,steal,9
http://2k73p5ku45ox4attf3v6a4yit6gfdxjd7kiwvxqcrz6fw37gm6acgxqd.onion/,other,offizielle,3,tskarte,3,personalausweis,2,eine,2,termin,2,ihre,2,diese,2,echter,1,deutscher,1,registriert,1
http://2kfwh535ntg7nmcre65zy223t4wqsqulyvxp2apcptwtvo6bt2j3a7qd.onion/,other,registered,5,visa,5,name,4,full,4,passports,4,canada,4,mexico,4,zealand,4,escrow,3,database,3
http://2l5cyiglloaimmacm6ulai62yqg344nwo3enyxx7vhgk3655ujin52yd.onion/,other,mail,21,support,17,profit,13,autobuy,12,regular,9,local,8,black,7,special,7,transfer,6,cheque,6
http://2ln3x7ru6psileh7il7jot2ufhol4o7nd54z663xonnnmmku4dgkx3ad.onion/,other,hits,4,brainmagic,2,psychedelics,2,products,2,tested,2,best,2,price,2,mescaline,2,pure,2,freebase,2
http://2mqeepkwhpadzjd6o3iktot4loebjzmbffbvkuq3huiunay7co7vorad.onion/,other,escrow,8,service,3,seller,3,buyer,3,umbrella,2,funds,2,inspection,2,dispute,2,oldest,1,start,1
http://2mthvthehj7w64qftegqrv4eowyqcidnjbo23esohcj6y5kpyww374qd.onion/,other,cards,62,code,37,fast,36,money,35,transfers,33,easy,33,online,31,world,29,stores,28,shopping,28
http://2nhk4glwvh35tlv66wckm3bd3r5kl5vbt7oex5t7oi7lrh3rh72afzid.onion/,other,scam,10,site,10,list,7,onion,6,http,5,verified,4,money,4,sites,3,links,3,want,3
http://2nmmsf3vfcgxg2m7g65elvtdonx7twqt5iwre5hynnocpj3snhrlogyd.onion/,other,cards,9,gift,8,amazon,5,online,5,code,5,available,4,valued,4,email,4,prices,2,escrow,2
http://2nxpboa3ya52j5au4gxwkdt4nxoh5g4y4f3tuqedlza46y35jmv6doid.onion/,other,server,4,secretmail,3,onionmail,3,mail,2,sign,2,onion,1,encrypted,1,hidden,1,service,1,help,1
